Title,Release_Date,Expired_Date,Document_Number,Document_Type,Activity_Code,Clinical_Trials,URL
"NIDA Translational Avant-Garde Award for Development of Medication to Treat Substance Use Disorders (UG3/UH3, Clinical Trial Optional)",12/6/2017,9/8/2020,RFA-DA-18-020,RFA,UG3/UH3,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-18-020.html
The NCI Transition Career Development Award (K22 Independent Clinical Trial Required),12/6/2017,3/13/2021,PAR-18-466,PAR,K22,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-18-466.html
The NCI Transition Career Development Award (K22 - Independent Clinical Trial Not Allowed),12/6/2017,3/13/2021,PAR-18-467,PAR,K22,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-467.html
"NIDA Avant-Garde Award Program for HIV/AIDS and Drug Use Research (DP1, Clinical Trial Optional)",12/6/2017,8/15/2020,RFA-DA-18-019,RFA,DP1,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-18-019.html
NICHD Small Grant Program (R03 - Clinical Trial Optional),12/5/2017,1/8/2021,PA-18-481,PA,R03,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-481.html
Cancer Research Education Grants Program - Curriculum or Methods Development (R25),12/5/2017,1/8/2021,PAR-18-476,PAR,R25,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-476.html
Cancer Research Education Grants Program - Courses for Skills Development (R25),12/5/2017,1/8/2021,PAR-18-477,PAR,R25,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-477.html
Cancer Research Education Grants Program - Research Experiences (R25),12/5/2017,1/8/2021,PAR-18-478,PAR,R25,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-478.html
"Pilot Studies to Test the Initiation of a Mental Health, Family Navigator Model to Promote Early Access, Engagement and Coordination of needed Mental Health Services for Children and Adolescents (R34-Clinical Trial Required)",12/5/2017,1/8/2021,PAR-18-429,PAR,R34,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-18-429.html
"Initiation of a Mental Health Family Navigator Model to Promote Early Access, Engagement and Coordination of Needed Mental Health Services for Children and Adolescents (R01- Clincal Trial Required)",12/5/2017,1/8/2021,PAR-18-428,PAR,R01,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-18-428.html
Silvio O. Conte Digestive Diseases Research Core Centers (P30 Clinical Trial Optional),12/5/2017,3/8/2019,RFA-DK-18-001,RFA,P30,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-18-001.html
NINDS Advanced Postdoctoral Career Transition Award to Promote Diversity in Neuroscience Research (K22) - Clinical Trial Required,12/4/2017,1/8/2021,PAR-18-468,PAR,K22,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-18-468.html
NINDS Advanced Postdoctoral Career Transition Award to Promote Diversity in Neuroscience Research (K22) - Clinical Trial Not Allowed,12/4/2017,1/8/2021,PAR-18-469,PAR,K22,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-469.html
Obesity and Asthma: Awareness and Self- Management (R01 Clinical Trial Optional),12/4/2017,1/8/2021,PA-18-379,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-379.html
NHLBI Clinical Trial Pilot Studies (R34 - Clinical Trial Optional),12/1/2017,1/8/2021,PAR-18-463,PAR,R34,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-463.html
NIBIB Research Project Grant (R01 Clinical Trial Required),11/30/2017,1/8/2021,PA-18-418,PA,R01,Required,https://grants.nih.gov/grants/guide/pa-files/PA-18-418.html
Research on Autism Spectrum (R21- Clinical Trial Optional),11/30/2017,9/8/2019,PA-18-400,PA,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-400.html
Research on Autism Spectrum (R03-Clinical Trial Optional),11/30/2017,9/8/2019,PA-18-399,PA,R03,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-399.html
Research on Autism Spectrum (R01- Clinical Trial Optional),11/30/2017,9/8/2019,PA-18-401,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-401.html
Centers of Biomedical Research Excellence (COBRE) (P20 Clinical Trial Optional),11/30/2017,1/25/2019,PAR-18-266,PAR,P20,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-266.html
Institutional Development Award (IDeA) Program Infrastructure for Clinical and Translational Research (IDeA-CTR)(U54 Clinical Trial Optional),11/30/2017,10/3/2019,PAR-18-265,PAR,U54,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-265.html
"NIDA Core ""Center of Excellence"" Grant Program (P30 Clinical Trial Optional)",11/30/2017,1/8/2020,PAR-18-225,PAR,P30,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-225.html
NIDA Research Center of Excellence Grant Program (P50 Clinical Trial Optional),11/30/2017,1/8/2019,PAR-18-224,PAR,P50,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-224.html
Exploratory/Developmental Surgical Disparities Research (R21 Clinical Trial Optional),11/30/2017,6/8/2019,PAR-18-289,PAR,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-289.html
Surgical Disparities Research (R01 Clinical Trial Optional) ,11/30/2017,6/8/2019,PAR-18-288,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-288.html
Image-guided Drug Delivery (R01 Clinical Trial Optional),11/30/2017,11/23/2018,PAR-18-252,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-252.html
Clinical Trial Planning: Therapeutic/Indication Pairing Strategies (U34) (Clinical Trials Not Allowed),11/30/2017,11/17/2020,PAR-18-462,PAR,U34,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-462.html
Improving Smoking Cessation in Socioeconomically Disadvantaged Populations via Scalable Interventions (R01 Clinical Trial Optional),11/30/2017,6/14/2019,PAR-18-251,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-251.html
Improving Smoking Cessation in Socioeconomically Disadvantaged Populations via Scalable Interventions (R21 Clinical Trial Optional),11/30/2017,6/14/2019,PAR-18-250,PAR,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-250.html
Multi-Site Pilot and Feasibility Studies for System-Level Implementation of Substance Use Prevention and Treatment Services (R34 Clinical Trial Optional),11/30/2017,11/14/2020,PAR-18-223,PAR,R34,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-223.html
Multi-Site Studies for System-Level Implementation of Substance Use Prevention and Treatment Services (R01 Clinical Trial Optional),11/30/2017,11/14/2020,PAR-18-222,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-222.html
NINDS Program Project Grant (P01) - Clinical Trial Optional,11/30/2017,1/8/2021,PAR-18-421,PAR,P01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-421.html
Building Evidence: Effective Palliative/End of Life Care Interventions (R01 Clinical Trial Optional),11/30/2017,6/11/2019,PAR-18-173,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-173.html
NCCIH Natural Product Phase II Clinical Trial Cooperative Agreement (U01 Clinical Trial Required),11/30/2017,11/5/2019,PAR-18-125,PAR,U01,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-18-125.html
NIH Pathway to Independence Award (Parent K99/R00 - Clinical Trial Required),11/29/2017,1/8/2021,PA-18-397,PA,K99/R00,Required,https://grants.nih.gov/grants/guide/pa-files/PA-18-397.html
NIH Pathway to Independence Award (Parent K99/R00 - Independent Clinical Trial Not Allowed),11/29/2017,1/8/2021,PA-18-398,PA,K99/R00,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-398.html
"NIDA Program Project Grant Applications (P01, Clinical Trial Optional)",11/29/2017,9/8/2019,PAR-18-425,PAR,P01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-425.html
Feasibility Clinical Trials of Mind and Body Interventions for NCCIH High Priority Research Topics (R34 - Clinical Trials Required),11/29/2017,9/8/2020,PAR-18-417,PAR,R34,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-18-417.html
NINDS Exploratory Clinical Trials (U01 - Clinical Trials Required),11/29/2017,1/8/2020,PAR-18-420,PAR,R01,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-18-420.html
NINDS Efficacy Clinical Trials (U01) - Clinical Trial Required,11/29/2017,1/8/2021,PAR-18-422,PAR,U01,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-18-422.html
NIDDK Mentored Research Scientist Development Award (K01-No Independent Clinical Trials),11/29/2017,1/8/2021,PAR-18-419,PAR,K01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-419.html
NIDDK Mentored Research Scientist Development Award (K01-Clinical Trial Required),11/29/2017,1/8/2021,PAR-18-418,PAR,K01,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-18-418.html
Health Services Research on Minority Health and Health Disparities (R21 Clinical Trial Optional),11/29/2017,4/12/2019,PAR-18-287,PAR,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-287.html
Health Services Research on Minority Health and Health Disparities (R01 Clinical Trial Optional),11/29/2017,4/12/2019,PAR-18-286,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-286.html
Limited Competition: Centers of Biomedical Research Excellence (COBRE) Phase III - Transitional Centers (P30 Clinical Trial Optional),11/29/2017,5/29/2019,PAR-18-263,PAR,P30,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-263.html
Quantitative Imaging Tools and Methods for Cancer Therapy Response Assessment (UG3/UH3 Clinical Trial Optional),11/29/2017,1/10/2020,PAR-18-248,PAR,UG3/UH3,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-248.html
"Strengthening the HIV Pre-Exposure Prophylaxis (PrEP) Care Continuum through Behavioral, Social, and Implementation Science (R01 Clinical Trial Optional) ",11/29/2017,1/8/2020,PA-18-281,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-281.html
Targeted Implementation Science to Achieve 90/90/90 Goals for HIV/AIDS Prevention and Treatment (R21 Clinical Trial Optional) ,11/29/2017,1/8/2020,PA-18-280,PA,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-280.html
Targeted Implementation Science to Achieve 90/90/90 Goals for HIV/AIDS Prevention and Treatment (R01 Clinical Trial Optional) ,11/29/2017,1/8/2020,PA-18-279,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-279.html
"Innovations in HIV Testing, Adherence, and Retention to Optimize HIV Care Continuum Outcomes (R01 Clinical Trial Optional)",11/29/2017,1/8/2020,PA-18-278,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-278.html
"Innovations in HIV Testing, Adherence, and Retention to Optimize HIV Care Continuum Outcomes (R21 Clinical Trial Optional)",11/29/2017,1/8/2020,PA-18-277,PA,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-277.html
Formative and Pilot Intervention Research for Prevention and Treatment of HIV/AIDS (R34 Clinical Trial Optional),11/29/2017,1/8/2020,PA-18-276,PA,R34,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-276.html
Multidisciplinary Studies of HIV/AIDS and Aging (R21 Clinical Trial Optional),11/29/2017,9/8/2020,PAR-18-190,PAR,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-190.html
Multidisciplinary Studies of HIV/AIDS and Aging (R01 Clinical Trial Optional),11/29/2017,9/8/2020,PAR-18-189,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-189.html
NICHD Research Education Programs (R25 Clinical Trial Optional),11/29/2017,5/26/2019,PAR-18-217,PAR,R25,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-217.html
Innovations in Mechanisms and Interventions to Address Mental Health in HIV Prevention and Care Continuum (R21 Clinical Trial Optional),11/29/2017,1/8/2020,PA-18-275,PA,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-275.html
Innovations in Mechanisms and Interventions to Address Mental Health in HIV Prevention and Care Continuum (R01 Clinical Trial Optional),11/29/2017,1/8/2020,PA-18-274,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-274.html
Targeted basic behavioral and social science and intervention development for HIV prevention and care (R01 Clinical Trial Optional) ,11/29/2017,1/8/2020,PA-18-273,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-273.html
Targeted basic behavioral and social science and intervention development for HIV prevention and care  (R21 Clinical Trial Optional),11/29/2017,1/8/2020,PA-18-272,PA,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-272.html
"Strengthening the HIV Pre-Exposure Prophylaxis (PrEP) Care Continuum through Behavioral, Social, and Implementation Science (R21 Clinical Trial Optional)",11/29/2017,1/8/2020,PA-18-271,PA,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-271.html
NIDDK Multi-Center Clinical Trial Cooperative Agreement (U01 Clinical Trial Required),11/28/2017,1/8/2021,PAR-18-415,PAR,U01,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-18-415.html
NIDDK Multi-Center Clinical Study Cooperative Agreement (U01 Clinical Trial Not Allowed),11/28/2017,1/8/2021,PAR-18-414,PAR,U01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PAR-18-414.html
NIDDK Multi-Center Clinical Study Implementation Planning Cooperative Agreements (U34 Clinical Trial Optional),11/28/2017,11/3/2020,PAR-18-423,PAR,U34,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-423.html
Advancing Research on Alzheimer's Disease (AD) and Alzheimer's-Disease-Related Dementias (ADRD) (R41/R42 Clinical Trial Optional),11/28/2017,9/6/2019,PAS-18-188,PAS,R41/R42,Optional,https://grants.nih.gov/grants/guide/pa-files/PAS-18-188.html
Advancing Research on Alzheimer's Disease (AD) and Alzheimer's-Disease-Related Dementias (ADRD) (R43/R44 Clinical Trial Optional),11/28/2017,9/6/2019,PAS-18-187,PAS,R43/R44,Optional,https://grants.nih.gov/grants/guide/pa-files/PAS-18-187.html
Products to Support Applied Research Towards Zero Suicide Healthcare Systems (R43/R44 Clinical Trial Optional),11/28/2017,4/6/2019,PAR-18-269,PAR,R43/R44,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-269.html
Intervening with Cancer Caregivers to Improve Patient Health Outcomes and Optimize Health Care Utilization (R21 Clinical Trial Optional),11/28/2017,4/12/2019,PAR-18-247,PAR,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-247.html
Intervening with Cancer Caregivers to Improve Patient Health Outcomes and Optimize Health Care Utilization (R01 Clinical Trial Optional),11/28/2017,4/12/2019,PAR-18-246,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-246.html
"Development of Socially-Assistive Robots (SARs) to Engage Persons with Alzheimer's Disease (AD) and AD-Related Dementias (ADRD), and their Caregivers (R43/R44 Clinical Trial Optional)",11/28/2017,4/6/2020,PAR-18-186,PAR,R43/R44,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-186.html
"Development of Socially-Assistive Robots (SARs) to Engage Persons with Alzheimer's Disease (AD) and AD-Related Dementias (ADRD), and their Caregivers (R41/R42 Clinical Trial Optional)",11/28/2017,4/6/2020,PAR-18-185,PAR,R41/R42,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-185.html
T2 Translational Research on Aging:  Small Business Innovation Awards (R43/R44 Clinical Trial Optional) ,11/28/2017,9/6/2019,PAR-18-184,PAR,R43/R44,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-184.html
T1 Translational Research on Aging: Small Business Innovation Awards (R43/R44 Clinical Trial Optional),11/28/2017,9/6/2019,PAR-18-183,PAR,R43/R44,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-183.html
Development and/or Validation of Devices or Electronic Systems to Monitor or Enhance Mind and Body Interventions (R41/R42 Clinical Trial Optional),11/28/2017,1/6/2020,PAS-18-121,PAS,R41/R42,Optional,https://grants.nih.gov/grants/guide/pa-files/PAS-18-121.html
Development and/or Validation of Devices or Electronic Systems to Monitor or Enhance Mind and Body Interventions (R43/R44 Clinical Trial Optional) ,11/28/2017,1/6/2020,PAS-18-120,PAS,R43/R44,Optional,https://grants.nih.gov/grants/guide/pa-files/PAS-18-120.html
Evaluating the NIDA Standardized Research E-Cigarette in Risk Reduction and Related Studies (U01 Clinical Trial Optional),11/28/2017,4/25/2019,PAR-18-220,PAR,U01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-220.html
Translational Research in Pediatric and Obstetric Pharmacology and Therapeutics (R01 Clinical Trial Optional),11/28/2017,4/4/2020,PAR-18-215,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-215.html
Translational Research in Pediatric and Obstetric Pharmacology and Therapeutics (R21 Clinical Trial Optional),11/28/2017,4/4/2020,PAR-18-214,PAR,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-214.html
NIDDK Exploratory Clinical Trials for Small Business (R44 Clinical Trial Required) ,11/28/2017,9/6/2019,PAR-18-108,PAR,R44,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-18-108.html
Predicting Behavioral Responses to Population-Level Cancer Control Strategies (R21 Clinical Trial Optional),11/28/2017,4/12/2019,PAR-18-024,PAR,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-024.html
Tobacco Use and HIV in Low and Middle Income Countries (R01 Clinical Trial Optional),11/28/2017,1/8/2020,PAR-18-023,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-023.html
Tobacco Use and HIV in Low and Middle Income Countries (R21 Clinical Trial Optional),11/28/2017,1/8/2020,PAR-18-022,PAR,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-022.html
Epidemiology and Prevention in Alcohol Research (R03 - Clinical Trial - Optional),11/27/2017,5/8/2020,PA-18-413,PA,R03,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-413.html
Epidemiology and Prevention in Alcohol Research (R21 - Clinical Trial Optional),11/27/2017,5/8/2020,PA-18-391,PA,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-391.html
Epidemiology and Prevention in Alcohol Research (R01 - Clinical Trial Optional),11/27/2017,5/8/2020,PA-18-390,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-390.html
Mentored Quantitative Research Development Award (Parent K25 - No Independent Clinical Trials),11/22/2017,1/8/2021,PA-18-396,PA,K25,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-396.html
Mentored Quantitative Research Development Award (Parent K25 - Clinical Trial Required),11/22/2017,1/8/2021,PA-18-395,PA,K25,Required,https://grants.nih.gov/grants/guide/pa-files/PA-18-395.html
Midcareer Investigator Award in Patient-Oriented Research  (Parent K24 - Clinical Trial Required),11/22/2017,1/8/2021,PA-18-393,PA,K24,Required,https://grants.nih.gov/grants/guide/pa-files/PA-18-393.html
Midcareer Investigator Award in Patient-Oriented Research (Parent K24 - No Independent Clinical Trials),11/22/2017,1/8/2021,PA-18-394,PA,K24,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-394.html
Education and Health: New Frontiers (R01)- Clinical Trial Optional,11/22/2017,1/8/2019,PAR-18-387,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-387.html
Education and Health: New Frontiers (R03) - Clinical Trial Optional,11/22/2017,1/8/2019,PAR-18-388,PAR,R03,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-388.html
Education and Health: New Frontiers (R21)- Clinical Trial Optional,11/22/2017,1/8/2019,PAR-18-362,PAR,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-362.html
Population Health Interventions: Integrating Individual and Group Level Evidence (R01) - Clinical Trial Optional,11/22/2017,5/8/2019,PA-18-385,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-385.html
Population Health Interventions: Integrating Individual and Group Level Evidence (R21) - Clinical Trials Optional,11/22/2017,5/8/2019,PA-18-407,PA,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-407.html
Healthy Habits: Timing for Developing Sustainable Healthy Behaviors in Children and Adolescents (R21 Clinical Trial Optional),11/22/2017,1/8/2021,PA-18-354,PA,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-354.html
Healthy Habits: Timing for Developing Sustainable Healthy Behaviors in Children and Adolescents  (R01 Clinical Trial Optional),11/22/2017,1/8/2021,PA-18-355,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-355.html
"mHealth Tools for Individuals with Chronic Conditions to Promote Effective Patient-Provider Communication, Adherence to Treatment and Self-Management (R21 Clinical Trial Optional)",11/21/2017,1/8/2021,PA-18-389,PA,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-389.html
"mHealth Tools for Individuals with Chronic Conditions to Promote Effective Patient-Provider Communication, Adherence to Treatment and Self-Management (R01 Clinical Trial Optional)",11/21/2017,1/8/2021,PA-18-386,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-386.html
Family-Centered Self-Management of Chronic Conditions (R21 Clinical Trial Optional),11/21/2017,1/8/2021,PA-18-380,PA,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-380.html
A Family-Centered Self-Management of Chronic Conditions (R01 Clinical Trial Optional),11/21/2017,1/8/2021,PA-18-383,PA,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PA-18-383.html
Ruth L. Kirschstein National Research Service Award (NRSA) Short-Term Institutional Research Training Grant (Parent T35),11/21/2017,1/8/2021,PA-18-404,PA,T35,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-404.html
Ruth L. Kirschstein National Research Service Award (NRSA) Institutional Research Training Grant (Parent T32),11/21/2017,1/8/2021,PA-18-403,PA,T32,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-403.html
Methodology and Measurement in the Behavioral and Social Sciences (R01) Clinical Trials Optional,11/21/2017,9/8/2019,PAR-18-352,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-352.html
Methodology and Measurement in the Behavioral and Social Sciences (R21) Clinical Trials Optional,11/21/2017,9/8/2019,PAR-18-378,PAR,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-378.html
Population Health Interventions: Integrating Individual and Group Level Evidence (R01)  Clinical Trials Not Allowed,11/21/2017,5/8/2019,PA-18-356,PA,R01,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-356.html
Population Health Interventions: Integrating Individual and Group Level Evidence (R21)- Clinical Trials Not Allowed,11/21/2017,5/8/2019,PA-18-406,PA,R21,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-406.html
Mentored Patient-Oriented Research Career Development Award (Parent K23 - Clinical Trial Required),11/21/2017,1/8/2021,PA-18-374,PA,K23,Required,https://grants.nih.gov/grants/guide/pa-files/PA-18-374.html
Mentored Patient-Oriented Research Career Development Award (Parent K23 - Independent Clinical Trials Not Allowed),11/21/2017,1/8/2021,PA-18-375,PA,K23,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-375.html
Mentored Clinical Scientist Research Career Development Award (Parent K08 - Independent Clinical Trial Required),11/21/2017,1/8/2021,PA-18-372,PA,K08,Required,https://grants.nih.gov/grants/guide/pa-files/PA-18-372.html
Mentored Clinical Scientist Research Career Development Award (Parent K08 - No Independent Clinical Trials),11/21/2017,1/8/2021,PA-18-373,PA,K08,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-373.html
Independent Scientist Award (Parent K02 - Independent Clinical Trial Required),11/21/2017,1/8/2021,PA-18-370,PA,K02,Required,https://grants.nih.gov/grants/guide/pa-files/PA-18-370.html
Independent Scientist Award (Parent K02 - Independent Clinical Trials Not Allowed),11/21/2017,1/8/2021,PA-18-371,PA,K02,Not_Allowed,https://grants.nih.gov/grants/guide/pa-files/PA-18-371.html
"Pilot and Feasibility Therapeutic Clinical Trials in Diabetes, and Endocrine and Metabolic Diseases (R21- Clinical Trial Required)",11/21/2017,1/8/2021,PA-18-405,PA,R21,Required,https://grants.nih.gov/grants/guide/pa-files/PA-18-405.html
IDeA Networks of Biomedical Research Excellence (INBRE) (P20 Clinical Trial Optional),11/21/2017,3/28/2019,PAR-18-262,PAR,P20,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-262.html
Limited Competition: Exploratory CTSA Collaborative Innovation Awards (R21 Clinical Trial Optional) ,11/21/2017,11/30/2018,PAR-18-245,PAR,R21,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-245.html
"Collaborative Innovation Award, Clinical and Translational Science Award (CTSA) Program (U01 Clinical Trial Optional)   ",11/21/2017,11/10/2018,PAR-18-244,PAR,U01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-244.html
National Cooperative Drug/Device Discovery/Development Groups (NCDDG) for the Treatment of Mental or Substance Use Disorders or Alcohol Addiction (U19 Clinical Trial Optional) ,11/21/2017,2/25/2020,PAR-18-231,PAR,U19,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-231.html
Reducing the Duration of Untreated Psychosis in the United States (R01 Clinical Trial Required),11/21/2017,3/20/2019,PAR-18-233,PAR,R01,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-18-233.html
Reducing the Duration of Untreated Psychosis in the United States (R34 Clinical Trial Required),11/21/2017,3/20/2019,PAR-18-232,PAR,R34,Required,https://grants.nih.gov/grants/guide/pa-files/PAR-18-232.html
National Cooperative Drug/Device Discovery/Development Groups (U01 Clinical Trial Optional) ,11/21/2017,2/25/2020,PAR-18-230,PAR,U01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-230.html
Grand Opportunity in Medications Development for Substance-Use Disorders (U01 Clinical Trial Optional),11/21/2017,7/26/2019,PAR-18-219,PAR,U01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-219.html
Strategic Alliances for Medications Development to Treat Substance Use Disorders (R01 Clinical Trial Optional),11/21/2017,7/26/2019,PAR-18-218,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-218.html
Human-Animal Interaction (HAI) Research (R01 Clinical Trial Optional),11/21/2017,3/31/2019,PAR-18-213,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-213.html
Research To Address Sleep Disorders in the Context of Medical Rehabilitation (R01 Clinical Trial Optional),11/21/2017,3/30/2019,PAR-18-212,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-212.html
NCMRR Early Career Research Award (R03 Clinical Trial Optional),11/21/2017,3/30/2019,PAR-18-211,PAR,R03,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-211.html
Ancillary Studies to Identify Behavioral and/or Psychological Phenotypes Contributing to Obesity (R01 Clinical Trial Optional),11/21/2017,3/1/2019,PAR-18-105,PAR,R01,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-105.html
NCI Small Grants Program for Cancer Research (NCI Omnibus R03 Clinical Trial Optional)  ,11/21/2017,1/8/2020,PAR-18-021,PAR,R03,Optional,https://grants.nih.gov/grants/guide/pa-files/PAR-18-021.html
Tobacco Regulatory Science Small Grant Program for New Investigators (R03 Clinical Trial Optional),11/20/2017,2/14/2019,RFA-OD-18-001,RFA,R03,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-18-001.html
Tobacco Regulatory Science (R01 Clinical Trial Optional),11/20/2017,2/14/2019,RFA-OD-18-002,RFA,R01,Optional,https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-18-002.html
